bucket,name,prompt_ix,prompt,base_tokens_emitted,srb_tokens_emitted,tokens_emitted_delta,tokens_emitted_pct,base_wall_time_s,srb_wall_time_s,wall_time_s_delta,wall_time_s_pct,base_avg_entropy,srb_avg_entropy,avg_entropy_delta,avg_entropy_pct,base_stop_reason,srb_stop_reason
code,code_000,0,Write Python code to implement Dijkstra’s shortest path and then explain how it works in detailed comments.,768,768,0,0.0,118.79888582229614,106.2222158908844,-12.576669931411743,-10.586521787943703,0.1278865302447229,0.1425530426204204,0.014666512375697494,11.468379310652765,max_tokens,cap_safety
code,code_001,1,Write a Python function that parses a simple CSV into rows and computes column averages; include tests and explanations.,768,627,-141,-18.359375,120.52672791481018,76.54368305206299,-43.98304486274719,-36.4923578559562,0.1285647357193132,0.1750488555982732,0.046484119878960006,36.156197590951905,max_tokens,eos_token
code,code_002,2,"Write a Python script that fetches JSON from a local file, validates a schema, and prints a summary; include docstrings.",428,604,176,41.1214953271028,54.714988231658936,65.81796503067017,11.10297679901123,20.292386342115446,0.1625678593588766,0.1295248023326823,-0.03304305702619431,-20.32570100664863,eos_token,eos_token
code,code_003,3,Implement a basic LRU cache class in Python and explain the time complexities in comments.,435,457,22,5.057471264367816,53.39460778236389,40.0911431312561,-13.303464651107788,-24.91537105269624,0.3137259528554719,0.1677691837369221,-0.1459567691185498,-46.5236515468612,eos_token,eos_token
code,code_004,4,Write a Python function to compute TF‑IDF scores for a tiny corpus and explain each step inline.,657,614,-43,-6.54490106544901,78.66877698898315,78.6877372264862,0.018960237503051758,0.024101350279929948,0.267826757474577,0.2429856579350338,-0.02484109953954322,-9.275062646382978,eos_token,eos_token
code,code_005,5,"Implement mergesort and quicksort in Python, compare their performance on random arrays, and explain results.",768,668,-100,-13.020833333333334,116.62656688690186,82.19307708740234,-34.43348979949951,-29.52456778813634,0.2373528458022823,0.2549575361226475,0.017604690320365185,7.417096795641581,max_tokens,eos_patience_fallback
code,code_006,6,Write a Python function to detect palindromic substrings (expand‑around‑center) and explain complexity.,634,397,-237,-37.381703470031546,89.16986322402954,45.33509302139282,-43.83477020263672,-49.15872764378549,0.1959087826100057,0.2398741652142791,0.043965382604273406,22.44176193560194,eos_token,eos_token
code,code_007,7,Write a Python script that reads a text file and outputs the top 20 most frequent bigrams; explain choices.,594,500,-94,-15.824915824915825,68.40305209159851,60.619507789611816,-7.783544301986694,-11.378942991555045,0.1919865918279898,0.2036682852506637,0.011681693422673889,6.08464024047059,eos_token,eos_token
code,code_008,8,Implement a simple Naive Bayes text classifier from scratch in Python with comments.,726,709,-17,-2.3415977961432506,107.57722282409668,95.59482979774477,-11.982393026351915,-11.138410819495451,0.2670231986965358,0.185602900087413,-0.08142029860912278,-30.491844531326517,eos_token,eos_token
code,code_009,9,Write a Python function to validate IPv4 addresses using regex and explain edge cases.,597,591,-6,-1.0050251256281406,81.61540603637695,70.81265306472778,-10.80275297164917,-13.23616887580545,0.2473051055791589,0.2132007076252132,-0.03410439795394571,-13.790414020801267,eos_token,eos_token
